goal_angle,episodes,successes,success_rate,mean_reward,mean_episode_length,mean_final_absolute_error,mean_hold_actions,mean_action_changes,policy
-0.8,5,5,1.0,10.589847672078758,25.0,0.009327071063274461,13.0,7.0,config_a
-0.4,5,5,1.0,15.503292351076379,18.0,0.004992408986828345,11.0,5.0,config_a
0.4,5,5,1.0,15.517476033093407,17.0,0.010200815347501668,6.0,9.0,config_a
0.8,5,5,1.0,10.98818615534692,23.0,0.0038535687738304736,9.0,6.0,config_a
-0.8,5,5,1.0,10.727137577476606,23.0,0.006658946267430688,1.0,8.0,config_b
-0.4,5,5,1.0,15.429348272783681,17.0,0.002689136387770019,3.0,6.0,config_b
0.4,5,5,1.0,15.279216479184106,17.0,0.024366109008021497,1.0,7.0,config_b
0.8,5,5,1.0,10.916295232321135,22.0,0.02060195865549641,4.0,4.0,config_b
-0.8,5,5,1.0,10.521527701057494,27.0,0.012328092101017596,17.0,1.0,rule_based
-0.4,5,5,1.0,15.21405668091029,21.0,0.013217009087764853,16.0,1.0,rule_based
0.4,5,5,1.0,15.211074960418046,21.0,0.012719840750495037,16.0,1.0,rule_based
0.8,5,5,1.0,10.519856926985085,27.0,0.0105712357298271,17.0,1.0,rule_based
